FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+B2,,other,7.6,T,25,690,930,51,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+B2,,other,7.6,T,25,550,800,64,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC,,FCC,7.6,T,25,260,620,87,210
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,25,159,410,65,210
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+B2,WROUGHT,other,7.6,T,25,215,520,43,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+L12,WROUGHT,other,7.6,T,25,285,540,55,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,25,263,589,60,210
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+L12+B2,WROUGHT,other,7.6,T,25,490,840,45,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+L12,CAST,other,7.6,T,25,175,335,58,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+L12,ANNEAL,other,7.6,T,25,305,525,44,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+B2,ANNEAL,other,7.6,T,25,280,570,44,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.7,T,700,395,400,1,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.7,C,25,1380,,10,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2+FCC+Sec.,ANNEAL,other,6.7,C,25,1430,,1.6,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2+FCC,ANNEAL,other,6.7,C,25,1690,,2.7,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2+FCC,ANNEAL,other,6.7,C,25,1220,,13,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2+FCC,ANNEAL,other,6.7,C,25,1450,,20,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,FCC+BCC,ANNEAL,other,6.7,T,25,900,935,0.8,
Al0.515 Cr0.515 Fe1 Ni1,,17.25253004,35.97989765,37.81481122,,,,8.952761091,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,6.9,T,25,796,1437,15.7,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,19.09595481,16.84817108,18.09535568,37.21758912,,,,8.742929305,,,,,,,,,,,,,,,,,,,L12+B2,,other,7,T,25,545,1030,16.5,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,18.4178572,16.2498923,17.45278936,39.44699338,,,,8.432467766,,,,,,,,,,,,,,,,,,,L12+B2,,other,7.1,T,25,545,1050,16.5,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,18.19505535,16.05331645,17.24166199,40.17950648,,,,8.330459734,,,,,,,,,,,,,,,,,,,L12+B2,,other,7.1,T,25,545,1110,20,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,19.09595481,16.84817108,18.09535568,37.21758912,,,,8.742929305,,,,,,,,,,,,,,,,,,,,,other,7,T,-70,580,1034,10.5,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,18.4178572,16.2498923,17.45278936,39.44699338,,,,8.432467766,,,,,,,,,,,,,,,,,,,,,other,7.1,T,-70,595,1168,15.8,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,18.19505535,16.05331645,17.24166199,40.17950648,,,,8.330459734,,,,,,,,,,,,,,,,,,,,,other,7.1,T,-70,570,1143,18,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,19.09595481,16.84817108,18.09535568,37.21758912,,,,8.742929305,,,,,,,,,,,,,,,,,,,,,other,7,T,-192,700,1000,4,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,18.4178572,16.2498923,17.45278936,39.44699338,,,,8.432467766,,,,,,,,,,,,,,,,,,,,,other,7.1,T,-192,700,1000,7,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,18.19505535,16.05331645,17.24166199,40.17950648,,,,8.330459734,,,,,,,,,,,,,,,,,,,,,other,7.1,T,-192,700,1000,9,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,19.89129315,17.5498902,36.67124416,19.81028743,,,,6.077285056,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,7.2,T,25,866,1223,7.9,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,19.89129315,17.5498902,36.67124416,19.81028743,,,,6.077285056,,,,,,,,,,,,,,,,,,,,CAST,other,7.2,T,650,400,468,6.3,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,19.89129315,17.5498902,36.67124416,19.81028743,,,,6.077285056,,,,,,,,,,,,,,,,,,,,CAST,other,7.2,T,700,220,340,5.4,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,19.89129315,17.5498902,36.67124416,19.81028743,,,,6.077285056,,,,,,,,,,,,,,,,,,,,CAST,other,7.2,C,25,1166,,30.2,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.6,T,25,350,720,21.9,234
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.6,T,25,1311,1410,12.1,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.6,T,25,1212,1360,14.9,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.6,T,25,1028,1249,18.3,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.6,T,25,879,1194,25.4,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.6,T,25,799,1127,28.2,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,33.85355085,12.81365143,18.31749501,19.25165609,,,,,,15.76364662,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,350,918,62.4,234
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.2,T,25,155,472.4,58.9,226
Co1 Cr1 Fe1 Mo0.083 Ni1,25.24644879,22.27469077,23.92357308,25.14363461,,,,,,3.411652744,,,,,,,,,,,,,,,,,,CAST,other,8.2,T,25,198.8,479,51.1,
Co1 Cr1 Fe1 Mo0.208 Ni1,24.01267029,21.18614026,22.75444271,23.91488058,,,,,,8.131866162,,,,,,,,,,,,,,,,,,CAST,other,8.3,T,25,254.7,589.6,55.1,
Co1 Cr1 Fe1 Mo0.304 Ni1,23.14403552,20.41975245,21.93132309,23.04978326,,,,,,11.45510568,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.4,T,25,305.3,709.7,49.3,
Co1 Cr1 Fe1 Mo0.304 Ni1,23.14403552,20.41975245,21.93132309,23.04978326,,,,,,11.45510568,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.4,T,25,815.5,1186.5,18.9,
Co1 Cr1 Fe1 Mo0.304 Ni1,23.14403552,20.41975245,21.93132309,23.04978326,,,,,,11.45510568,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.4,T,25,646.7,1042,32.5,
Co1 Cr1 Fe1 Mo0.304 Ni1,23.14403552,20.41975245,21.93132309,23.04978326,,,,,,11.45510568,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.4,T,25,683.7,1066.6,30.4,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,243,558,50,220
C0.02 Co1 Cr1 Fe1 Mn1 Ni1,20.99911055,18.52730647,19.89878894,20.91359333,19.5756051,,,,0.085595614,,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8,T,25,446,723,15,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,249,621,41,220
C0.02 Co1 Cr1 Fe1 Mn1 Ni1,20.99911055,18.52730647,19.89878894,20.91359333,19.5756051,,,,0.085595614,,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8,T,25,581,857,28,
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.2,T,25,190,453,70,226
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,25.19086086,22.22564609,23.87089787,25.08827306,,,1.698238809,1.926083313,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.8,T,25,210,503,70,214
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,25.19086086,22.22564609,23.87089787,25.08827306,,,1.698238809,1.926083313,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,WROUGHT,other,7.8,T,25,645,1094,39,
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,25.19086086,22.22564609,23.87089787,25.08827306,,,1.698238809,1.926083313,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,WROUGHT,other,7.8,T,25,1005,1273,17,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,ANNEAL,other,7.4,T,25,568,786,12,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,ANNEAL,other,7.4,T,25,596,1039,20,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,ANNEAL,other,7.4,T,700,487,702,18,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC+L12+Sec.,ANNEAL,other,7.4,T,700,486,624,11,
Al0.885 Cr1 Fe1 Ni1,,27.30694905,29.3283439,30.82403955,,,,12.54066751,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.4,C,25,770,,37.1,
Al1 Cr1 Fe1 Ni1,,26.8690961,28.85807892,30.32979185,,,,13.94303313,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.3,C,25,843.2,,34.6,
Al1 Cr0.889 Fe0.889 Ni0.889,,26.40933113,28.36427988,29.8108099,,,,15.41557909,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.1,C,25,1044,,27.1,
Al1 Cr0.828 Fe0.828 Ni0.828,,26.11277131,28.04576724,29.47605366,,,,16.36540779,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6,C,25,906.8,,31.4,
Al1 Cr0.767 Fe0.767 Ni0.767,,25.77726694,27.6854272,29.09733689,,,,17.43996897,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,5.9,C,25,1122.8,,24.7,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8,C,25,230,,75,220
Co1 Cr1 Fe1 Mn1 Ni1 V0.263,20.05869612,17.69758816,19.0076508,19.97700866,18.69894027,,,,,,,,4.56011599,,,,,,,,,,,,,,FCC+Sec.,ANNEAL,other,7.9,C,25,200,,75,
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,19.26695785,16.99904536,18.25739842,19.18849468,17.96087303,,,,,,,,8.327230642,,,,,,,,,,,,,,FCC+Sec.,ANNEAL,other,7.8,C,25,620,,75,
Co1 Cr1 Fe1 Mn1 Ni1 V0.765,18.45256634,16.28051583,17.48567979,18.37741972,17.20168818,,,,,,,,12.20213014,,,,,,,,,,,,,,FCC+Sec.,ANNEAL,other,7.7,C,25,780,,8,
Co1 Cr1 Fe1 Mn1 Ni1 V1,17.7858861,15.69231048,16.85393258,17.71345448,16.58020142,,,,,,,,15.37421495,,,,,,,,,,,,,,FCC+Sec.,ANNEAL,other,7.7,C,25,1700,,1,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.6,C,25,,,25,210
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.2,C,25,,,83,226
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,19.09595481,16.84817108,18.09535568,37.21758912,,,,8.742929305,,,,,,,,,,,,,,,,,,,FCC+B2,CAST,other,7,T,25,545,1030,16.5,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,18.4178572,16.2498923,17.45278936,39.44699338,,,,8.432467766,,,,,,,,,,,,,,,,,,,FCC+B2,CAST,other,7.1,T,25,545,1050,16.5,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,18.19505535,16.05331645,17.24166199,40.17950648,,,,8.330459734,,,,,,,,,,,,,,,,,,,FCC+B2,CAST,other,7.1,T,25,545,1110,20,
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,19.64537038,17.33291498,18.61598271,38.06491471,,,,1.889889648,,,,4.450927565,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,719,1048,30,209
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,19.64537038,17.33291498,18.61598271,38.06491471,,,,1.889889648,,,,4.450927565,,,,,,,,,,,,,,,FCC+L12,WROUGHT,other,8,T,25,460,732,32,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,18.22968763,16.08387216,17.27447959,35.25329837,,,,3.921958124,,,,9.236704134,,,,,,,,,,,,,,,Other,CAST,other,7.7,T,25,357,459,9,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,18.22968763,16.08387216,17.27447959,35.25329837,,,,3.921958124,,,,9.236704134,,,,,,,,,,,,,,,Other,ANNEAL,other,7.7,T,25,365,365,0.1,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,18.22968763,16.08387216,17.27447959,35.25329837,,,,3.921958124,,,,9.236704134,,,,,,,,,,,,,,,FCC+L12,ANNEAL,other,7.7,T,25,215,489,39,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,19.48172586,17.18853304,18.46091291,19.40238807,,,,4.459775739,,,,21.00666437,,,,,,,,,,,,,,,Other,WROUGHT,other,7.6,T,25,1284,1344,7.6,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,19.48172586,17.18853304,18.46091291,19.40238807,,,,4.459775739,,,,21.00666437,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,25,1290,1400,5,189
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,19.48172586,17.18853304,18.46091291,19.40238807,,,,4.459775739,,,,21.00666437,,,,,,,,,,,,,,,Other,WROUGHT,other,7.6,T,25,650,790,27,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7.1,T,25,790,790,0.2,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,BCC+Sec.,WROUGHT,other,7.1,T,25,1040,1170,1,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.7,T,700,395,400,1,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+B2+FCC+Sec.,OTHER,other,6.7,T,700,295,393,12,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7.1,T,700,350,360,5,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,BCC+Sec.,WROUGHT,other,7.1,T,700,63,91,63,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,19.48172586,17.18853304,18.46091291,19.40238807,,,,4.459775739,,,,21.00666437,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,700,180,185,5,189
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,19.48172586,17.18853304,18.46091291,19.40238807,,,,4.459775739,,,,21.00666437,,,,,,,,,,,,,,,Other,WROUGHT,other,7.6,T,700,160,180,12,
Co1 Cr1 Fe1 Ni1 Ti0.2,25.07356182,22.12215432,23.75974513,24.97145172,,,4.07308701,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,700,1240,36,218
Co1 Cr1 Fe1 Ni1 Ti0.2,25.07356182,22.12215432,23.75974513,24.97145172,,,4.07308701,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,-196,860,1580,46,218
Al0.1 Co1 Cr1 Fe1 Ni1,25.82909225,22.78875131,24.47568691,25.72390531,,,,1.182564212,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1198,,1.5,220
Al0.1 Co1 Cr1 Fe1 Ni1,25.82909225,22.78875131,24.47568691,25.72390531,,,,1.182564212,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1403,,1.2,220
Al0.1 Co1 Cr1 Fe1 Ni1,25.82909225,22.78875131,24.47568691,25.72390531,,,,1.182564212,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,711,928,30.3,220
Al0.1 Co1 Cr1 Fe1 Ni1,25.82909225,22.78875131,24.47568691,25.72390531,,,,1.182564212,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,356,,42.4,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1120,,1.1,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,-196,1692,,10.3,220
Al0.5 Cr0.5 Fe0.5 Ni1,,20.61623495,22.14235019,46.54314477,,,,10.69827009,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,6.7,T,25,774,1357,6.4,
Al0.429 Cr0.476 Fe0.476 Ni1,,20.35359794,21.8602715,48.26703396,,,,9.519096593,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,6.9,T,25,610,1173,9.1,
Al0.364 Cr0.455 Fe0.455 Ni1,,20.12056206,21.60998515,49.91661018,,,,8.352842609,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7,T,25,479,956,12.7,
Al0.304 Cr0.435 Fe0.435 Ni1,,19.8743369,21.3455332,51.57268755,,,,7.207442347,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7.2,T,25,461,835,30,
Al0.25 Cr0.417 Fe0.417 Ni1,,19.63833537,21.09206167,53.16000224,,,,6.109600721,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.3,T,25,441,757,45,196
Co1 Cr1 Ni1,34.74372428,30.65404252,,34.6022332,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,1100,,23,231
Co1 Cr1 Ni1,34.74372428,30.65404252,,34.6022332,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,597,,53,231
Co1 Cr1 Ni1,34.74372428,30.65404252,,34.6022332,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,346,,76,231
Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,18.58729717,16.3993875,17.61335093,38.88991989,,,,8.510044496,,,,,,,,,,,,,,,,,,,FCC+B2,WROUGHT,other,7.1,T,25,1263,,21.4,
Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,18.58729717,16.3993875,17.61335093,38.88991989,,,,8.510044496,,,,,,,,,,,,,,,,,,,FCC+B2,WROUGHT,other,7.1,T,25,1154,,25,
Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,18.58729717,16.3993875,17.61335093,38.88991989,,,,8.510044496,,,,,,,,,,,,,,,,,,,FCC+B2,WROUGHT,other,7.1,T,25,1490,,16,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8,C,25,210,,57,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,C,25,1150,,6,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,C,25,1300,,0.7,220
Nb1 Ta1 Ti1 V1,,,,,,24.93029896,12.84458076,,,,,,13.66972305,,,,,48.55539724,,,,,,,,,BCC,POWDER,BCC,9.2,C,25,1108,,28.3,134
Nb1 Ta1 Ti1 V1,,,,,,24.93029896,12.84458076,,,,,,13.66972305,,,,,48.55539724,,,,,,,,,BCC,POWDER,BCC,9.2,C,25,1308,,27.9,134
Nb1 Ta1 Ti1 V1,,,,,,24.93029896,12.84458076,,,,,,13.66972305,,,,,48.55539724,,,,,,,,,BCC,POWDER,BCC,9.2,C,25,1373,,29.5,134
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,300,676,52,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,800,888,39.5,220
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,20,446,664,63,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,-73,488,790,72,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,-196,590,1070,78,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,-223,,1152,68.6,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,-253,,1240,62,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,-268.8,680,1251,61.6,226
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8,C,25,216,,,220
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,20.71932804,18.28045715,19.63366661,20.63495021,19.31478873,,,,,1.416809259,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.1,C,25,225,,,221
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+L12,WROUGHT,other,7.6,T,25,143,400,65,
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+L12,WROUGHT,other,7.6,T,25,471,850,45,
